movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
jurassic world,1,0,0,1,0.0,0.4
jurassic world dominion,6,0,1,5,0.0,0.36666666666666664
justice league,2,0,1,1,0.0,0.45
kajillionaire,1,1,0,0,1.0,1.0
kikiâ??s delivery service,3,2,1,0,0.6666666666666666,0.8
kill bill: vol. 1,5,5,0,0,1.0,0.9800000000000001
kill bill: vol. 2,1,1,0,0,1.0,1.0
kill your darlings,1,0,1,0,0.0,0.7
kimi,3,2,1,0,0.6666666666666666,0.7666666666666667
king richard,2,0,2,0,0.0,0.6
kingsman: the golden circle,1,0,1,0,0.0,0.6
kingsman: the secret service,1,1,0,0,1.0,0.8
klaus,3,2,0,0,0.6666666666666666,0.8
knives out,14,12,0,0,0.8571428571428571,0.8583333333333334
knock at the cabin,5,1,3,1,0.2,0.62
kong: skull island,1,1,0,0,1.0,0.8
kung fu panda,1,1,0,0,1.0,0.9
l.a. confidential,1,1,0,0,1.0,1.0
la jetã©e,1,1,0,0,1.0,1.0
la la land,8,8,0,0,1.0,0.9875
labyrinth,2,1,1,0,0.5,0.75
lady bird,8,8,0,0,1.0,0.9875
lady chatterleyâ??s lover,1,1,0,0,1.0,0.8
lamb,12,0,8,2,0.0,0.5599999999999999
lars and the real girl,2,2,0,0,1.0,0.8
last night in soho,12,2,1,7,0.16666666666666666,0.45
legally blonde,7,7,0,0,1.0,0.8857142857142858
licorice pizza,9,7,2,0,0.7777777777777778,0.8111111111111111
lightyear,4,0,2,2,0.0,0.475
little miss sunshine,12,12,0,0,1.0,0.9583333333333334
little women,45,42,3,0,0.9333333333333333,0.9
logan,1,1,0,0,1.0,0.9
loki,3,2,0,0,0.6666666666666666,0.9
lolita,2,2,0,0,1.0,0.8
look both ways,2,0,2,0,0.0,0.55
lost highway,2,2,0,0,1.0,0.8
lost in translation,2,1,1,0,0.5,0.85
love,1,0,1,0,0.0,0.6
love & other drugs,1,0,1,0,0.0,0.7
love actually,4,2,2,0,0.5,0.775
love hard,2,0,0,2,0.0,0.4
"love, rosie",1,1,0,0,1.0,0.8
"love, simon",1,0,1,0,0.0,0.7
luca,11,6,4,0,0.5454545454545454,0.8400000000000001
lux ã?terna,1,1,0,0,1.0,0.8
"lyle, lyle, crocodile",2,0,0,2,0.0,0.3
lã©on: the professional,2,2,0,0,1.0,0.9
m3gan,14,3,8,0,0.21428571428571427,0.7
ma,2,1,1,0,0.5,0.75
ma raineyâ??s black bottom,1,0,1,0,0.0,0.7
mad max: fury road,3,3,0,0,1.0,1.0
magnolia,1,1,0,0,1.0,0.8
mainstream,1,1,0,0,1.0,0.8
malcolm & marie,5,0,1,2,0.0,0.4666666666666667
malignant,6,3,2,0,0.5,0.76
mamma mia!,8,5,3,0,0.625,0.825
mamma mia! here we go again,3,2,0,0,0.6666666666666666,1.0
manchester by the sea,1,1,0,0,1.0,0.9
mank,2,0,1,0,0.0,0.6
marcel the shell with shoes on,9,9,0,0,1.0,0.9222222222222222
mare of easttown,1,0,0,0,0.0,0.5
marie antoinette,6,4,2,0,0.6666666666666666,0.8166666666666667
marriage story,2,2,0,0,1.0,0.9
marry me,2,0,2,0,0.0,0.65
matilda,1,1,0,0,1.0,0.9
maurice,4,3,1,0,0.75,0.775
me before you,1,0,0,1,0.0,0.3
mean girls,4,4,0,0,1.0,0.9
megamind,2,2,0,0,1.0,0.9
melancholia,1,1,0,0,1.0,0.8
memento,4,3,1,0,0.75,0.8
memoria,1,1,0,0,1.0,0.9
memories of murder,6,6,0,0,1.0,0.9
men,9,0,4,5,0.0,0.3555555555555555
metropolis,1,1,0,0,1.0,0.8
midnight in paris,3,3,0,0,1.0,0.8333333333333334
midnight mass,2,2,0,0,1.0,0.8
midsommar,12,8,2,0,0.6666666666666666,0.8
minari,6,6,0,0,1.0,0.9166666666666666
minions,1,0,0,1,0.0,0.2
minions: the rise of gru,9,2,4,2,0.2222222222222222,0.6625
miss americana,1,1,0,0,1.0,1.0
miss congeniality,1,0,1,0,0.0,0.7
missing,4,2,2,0,0.5,0.75
mission: impossible - ghost protocol,1,1,0,0,1.0,0.8
mommy,3,3,0,0,1.0,1.0
moneyball,1,0,0,0,0.0,0.5
"monsters, inc.",1,1,0,0,1.0,0.9
monty python and the holy grail,1,1,0,0,1.0,1.0
moon knight,4,2,0,0,0.5,1.0
moonlight,3,3,0,0,1.0,0.9
moonrise kingdom,3,2,1,0,0.6666666666666666,0.8666666666666666
moonstruck,1,1,0,0,1.0,1.0
morbius,8,1,0,4,0.125,0.3
mortal kombat,1,0,1,0,0.0,0.5
mother!,6,2,3,1,0.3333333333333333,0.6
moulin rouge!,4,3,0,0,0.75,0.9666666666666666
moxie,3,1,2,0,0.3333333333333333,0.7
mr. & mrs. smith,1,1,0,0,1.0,0.8
ms. marvel,1,0,1,0,0.0,0.7
mulan,6,0,0,6,0.0,0.26666666666666666
mulholland drive,5,5,0,0,1.0,0.9800000000000001
murder on the orient express,1,0,1,0,0.0,0.6
music,2,0,0,2,0.0,0.1
my best friendâ??s wedding,1,0,1,0,0.0,0.7
my life as a zucchini,2,1,1,0,0.5,0.85
my neighbor totoro,4,4,0,0,1.0,0.925
my octopus teacher,2,2,0,0,1.0,0.9
my own private idaho,5,4,1,0,0.8,0.9
my policeman,4,0,3,0,0.0,0.6
mysterious skin,4,4,0,0,1.0,1.0
napoleon dynamite,2,1,1,0,0.5,0.75
neon genesis evangelion,2,1,0,0,0.5,0.8
nerve,1,0,1,0,0.0,0.7
never rarely sometimes always,1,1,0,0,1.0,0.8
nightcrawler,7,7,0,0,1.0,0.9
nightmare alley,10,2,8,0,0.2,0.6599999999999999
nimic,1,0,0,0,0.0,0.5
no country for old men,3,1,2,0,0.3333333333333333,0.7
no time to die,4,1,3,0,0.25,0.675
nobody,3,2,1,0,0.6666666666666666,0.7666666666666667
nocturnal animals,3,3,0,0,1.0,0.9333333333333333
nomadland,4,1,2,0,0.25,0.7
nope,13,9,3,1,0.6923076923076923,0.8
normal people,8,7,0,0,0.875,0.9571428571428571
nosferatu,1,1,0,0,1.0,0.9
not okay,9,3,5,1,0.3333333333333333,0.7
notting hill,6,4,2,0,0.6666666666666666,0.75
obi-wan kenobi,1,0,0,1,0.0,0.2
ocean waves,1,0,1,0,0.0,0.6
oceanâ??s eight,1,0,0,1,0.0,0.4
oceanâ??s eleven,3,3,0,0,1.0,0.9333333333333333
okja,1,1,0,0,1.0,0.9
old,7,2,0,4,0.2857142857142857,0.4833333333333333
oldboy,2,2,0,0,1.0,1.0
once upon a timeâ?¦ in hollywood,6,3,0,2,0.5,0.7
one flew over the cuckooâ??s nest,1,1,0,0,1.0,0.9
one night in miamiâ?¦,1,0,0,0,0.0,0.5
onward,1,1,0,0,1.0,0.8
orphan,2,0,2,0,0.0,0.7
orphan: first kill,3,0,3,0,0.0,0.6333333333333333
over the garden wall,2,2,0,0,1.0,0.9
