movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
airborne,1,0,0,0,0.0,0.5
airheads,1,0,0,0,0.0,0.5
airplane,1,0,1,0,0.0,0.7
airplane ii the sequel,1,0,0,0,0.0,0.5
airport 77,1,0,0,0,0.0,0.5
ajami,1,0,0,0,0.0,0.5
aka,1,0,0,0,0.0,0.5
aka tommy chong,1,0,0,0,0.0,0.5
akeelah and the bee,1,0,0,0,0.0,0.5
akillas escape,1,0,0,0,0.0,0.5
akira,1,0,0,0,0.0,0.5
aladdin,2,0,0,0,0.0,0.5
albatross,1,0,0,0,0.0,0.5
albert nobbs,1,0,0,0,0.0,0.5
albino alligator,1,0,0,0,0.0,0.5
alcarràs,1,0,0,0,0.0,0.5
alex  emma,1,0,0,0,0.0,0.5
alex cross,1,0,0,0,0.0,0.5
alex of venice,1,0,0,0,0.0,0.5
alex rider operation stormbreaker,1,0,0,0,0.0,0.5
alex strangelove,1,0,0,0,0.0,0.5
alexander,1,0,0,0,0.0,0.5
alexander and the terrible horrible no good very bad day,1,0,0,0,0.0,0.5
alexandra,1,0,0,0,0.0,0.5
alfie,2,0,0,0,0.0,0.5
ali,1,0,0,0,0.0,0.5
ali  ava,1,0,0,0,0.0,0.5
ali g indahouse,1,0,0,0,0.0,0.5
alias betty,1,0,0,0,0.0,0.5
alice,2,0,0,0,0.0,0.5
alice darling,1,0,0,0,0.0,0.5
alice doesnt live here anymore,1,0,0,0,0.0,0.5
alice et martin,1,0,0,0,0.0,0.5
alice in the cities,1,0,0,0,0.0,0.5
alice in wonderland,2,0,0,0,0.0,0.5
alice neel,1,0,0,0,0.0,0.5
alice through the looking glass,1,0,0,0,0.0,0.5
alices house,1,0,0,0,0.0,0.5
alien,3,3,0,0,1.0,0.9333333333333333
alien 3,1,0,0,0,0.0,0.5
alien abduction,1,0,0,0,0.0,0.5
alien girl,1,0,0,0,0.0,0.5
alien nation,1,0,0,0,0.0,0.5
alien outpost,1,0,0,0,0.0,0.5
alien resurrection,1,0,0,0,0.0,0.5
alien trespass,1,0,0,0,0.0,0.5
alienoid,1,0,0,0,0.0,0.5
aliens,2,2,0,0,1.0,0.9
aliens in the attic,1,0,0,0,0.0,0.5
aliens of the deep,1,0,0,0,0.0,0.5
alila,1,0,0,0,0.0,0.5
aline,1,0,0,0,0.0,0.5
alita battle angel,1,0,0,0,0.0,0.5
alive,1,0,0,0,0.0,0.5
alive inside,1,0,0,0,0.0,0.5
aliyah,1,0,0,0,0.0,0.5
all about eve,1,0,0,0,0.0,0.5
all about lily chouchou,1,0,0,0,0.0,0.5
all about my mother,1,0,0,0,0.0,0.5
all about nina,1,0,0,0,0.0,0.5
all about steve,1,0,0,0,0.0,0.5
all about the benjamins,1,0,0,0,0.0,0.5
